location,source,target,id,fuzzy,context,translator_comments,developer_comments
,Stop playback of this route,Stop playback of this route,,False,route_detail_action_stop_route_hint,,"' Talkback hint for the action to stop the route. This is always preceded by ""Double tap to "" '"
,Share this route with another app,Share this route with another app,,False,route_detail_action_share_hint,,"' Talkback hint for the action to share. This is always preceded by ""Double tap to "" '"
,"Change the waypoints in the route, or reorder them.","Change the waypoints in the route, or reorder them.",,False,route_detail_action_edit_hint,,"' Accessibility hint for the edit button on the Route Detail screen . This is always preceded by ""Double tap to "" '"
,New Route,New Route,,False,route_detail_action_create,,' Add button on the Route list screen '
,Create a new route,Create a new route,,False,route_detail_action_create_hint,,"' Talkback hint for the add button on the Route list screen. This is always preceded by ""Double tap to "" '"
,Route Completed! %s,Route Completed! %s,,False,route_end_completed_accessibility,,"' Accessibility Text displayed for when a route ends and the route was completed, %s is name of the route, ""Route Completed! Home to Work"" '"
,Previous Waypoint,Previous Waypoint,,False,route_detail_action_previous,,' Title text of the button used to move to the previous waypoint '
,Move the beacon to the previous waypoint,Move the beacon to the previous waypoint,,False,route_detail_action_previous_hint,,"' Hint text of the button used to move to the previous waypoint, always preceded by ""Double tap to "" '"
,Inactive as the route is already at the start,Inactive as the route is already at the start,,False,route_detail_action_previous_disabled_hint,,' Hint text of the button used to move to the previous waypoint when it's been disabled '
,Next Waypoint,Next Waypoint,,False,route_detail_action_next,,' Title text of the button used to move to the next waypoint '
,Move the beacon to the next waypoint,Move the beacon to the next waypoint,,False,route_detail_action_next_hint,,"' Hint text of the button used to move to the next waypoint, always preceded by ""Double tap to "" '"
,Inactive as the route is already at the end,Inactive as the route is already at the end,,False,route_detail_action_next_disabled_hint,,' Hint text of the button used to move to the next waypoint when it's been disabled '
,Description,Description,,False,route_detail_edit_description,,' Label for the description field of a route '
,Add Waypoints,Add Waypoints,,False,route_detail_edit_waypoints_button,,' Label for the button used to add waypoints to a route '
,Delete Route,Delete Route,,False,route_detail_edit_delete,,' Label for the delete route button '
,Update Complete!,Update Complete!,,False,route_update_success_title,,' Title for the alert displayed when a route or tour is updated '
,Waypoint,Waypoint,,False,waypoint_title,,"' Title of a waypoint used in a route, this is used in the form ""Waypoint 1"", ""Waypoint 2"" etc. '"
,Route not found,Route not found,,False,route_not_found,,' Text shown when a route isn't found in the database  '
,Save as Marker,Save as Marker,,False,universal_links_alert_action_marker,,' Alert action to save as marker '
,"I've shared a Soundscape marker with you! *""%s""*","I've shared a Soundscape marker with you! *""%s""*",,False,universal_links_marker_share_message,,"' Message to display alongside a URL that can be used to import a marker. Quotes written as \"" '"
,Save Marker,Save Marker,,False,user_activity_save_marker_title,,' Title for button to save the location from the location details page as a marker. '
,Routes,Routes,,False,routes_title,,' Title of the option for displaying a the user's list of saved routes '
,Route deleted,Route deleted,,False,routes_action_deleted,,' Feedback given when a route is deleted '
,Getting Started with Route Waypoints,Getting Started with Route Waypoints,,False,routes_no_routes_title,,"' Title of the view that is shown when the user navigates to the routes list, but they have not yet created any routes '"
,Create a route for yourself or for someone else by organizing a set of markers as waypoints on a route.,Create a route for yourself or for someone else by organizing a set of markers as waypoints on a route.,,False,routes_no_routes_hint_1,,' This text is displayed to the user when they navigate to the routes list but have not yet created any routes. It explains how a route is a set of ordered markers. '
,"While out on your route with Soundscape, you will be informed on arrival to each waypoint, and the Audio Beacon will automatically advance to the next waypoint.","While out on your route with Soundscape, you will be informed on arrival to each waypoint, and the Audio Beacon will automatically advance to the next waypoint.",,False,routes_no_routes_hint_2,,' This text is displayed to the user when they navigate to the routes list but have not yet created any routes. It explains that the beacon will automatically shift between the route waypoints as they walk the route. '
,Sort by Name,Sort by Name,,False,routes_sort_by_name,,' Text for a button that will cause the list of routes to be sorted by their names '
,Sort by Distance,Sort by Distance,,False,routes_sort_by_distance,,' Text for a button that will cause the list of routes to be sorted by their distance from the user '
,Markers,Markers,,False,markers_title,,' Title of Markers page. Markers are locations that the user has selected and added a name for. '
,Delete Marker,Delete Marker,,False,markers_action_delete,,' Button text to delete a marker '
,Name,Name,,False,markers_sort_button_sort_by_name,,"' Sort by category, Name. Used when a user is presented an option to sort a location list by name. '"
,Sorted by name,Sorted by name,,False,markers_sort_button_sort_by_name_voiceover,,"' Sort by category, Name. This is the Talkback label used when a user a location list is sorted by name. '"
,Distance,Distance,,False,markers_sort_button_sort_by_distance,,"' Sort by category, Distance. Used when a user is presented an option to sort a location list by distance. '"
,Sorted by distance,Sorted by distance,,False,markers_sort_button_sort_by_distance_voiceover,,"' Sort by category, Distance. This is the Talkback label used when a user a location list is sorted by distance. '"
,Getting Started with Markers,Getting Started with Markers,,False,markers_no_markers_title,,' Title for markers page when no markers exist '
,"Create markers for your favorite destinations, waypoints on a route, or any locations you want called out. Simply choose a location, or even your current location, from the home screen and select *""Save as Marker""*.","Create markers for your favorite destinations, waypoints on a route, or any locations you want called out. Simply choose a location, or even your current location, from the home screen and select *""Save as Marker""*.",,False,markers_no_markers_hint_1,,"' Text that explains to the user what ""markers"" are and how they can be used. Ensure ""Save as Marker"" is translated to be the same as ""universal_links.alert.action.marker"". Quotes written as \"" '"
,"Try marking your home, the entrance to your work, or your favorite spot in the park.","Try marking your home, the entrance to your work, or your favorite spot in the park.",,False,markers_no_markers_hint_2,,"' Additional text that explains how users can use markers. This string is displayed below the string with key ""markers.no_markers.hint.1"" '"
,Edit Marker,Edit Marker,,False,markers_edit_screen_title_edit,,' Title of page for editing markers '
,Marker,Marker,,False,markers_generic_name,,' Text used when calling out makers '
,Marker. %s,Marker. %s,,False,markers_marker_with_name,,"' Marker Information, %s is the name of the marker e.g. ""Marker. <Starbucks>"" '"
,Marker created,Marker created,,False,markers_marker_created,,' Notification when a marker is created '
,Additional notes,Additional notes,,False,markers_annotation,,' A marker property that allows users to leave a custom explanation or comment on the marker '
,Choose destination,Choose destination,,False,search_choose_destination,,"' Description text for the search field, ""destination"" should be translated the same as it is in ""first_launch.prompt.message"" '"
,Current Location,Current Location,,False,search_use_current_location,,' Search using current location '
,Places Nearby,Places Nearby,,False,search_nearby_screen_title,,' Nearby Places screen title '
,Markers and Routes,Markers and Routes,,False,search_view_markers,,' Markers and routes screen titles '
,Select or edit markers you have saved,Select or edit markers you have saved,,False,search_button_markers_accessibility_hint,,"' Accessibility hint when the user selects the markers button on the home screen. This is always preceded by ""Double tap to "" '"
,"Explore nearby restaurants, transit stops and more","Explore nearby restaurants, transit stops and more",,False,search_button_nearby_accessibility_hint,,"' Accessibility hint when the user selects the nearby places button on the home screen. This is always preceded by ""Double tap to "" '"
,"Preview, mark, or share your current location with a friend","Preview, mark, or share your current location with a friend",,False,search_button_current_location_accessibility_hint,,"' Accessibility hint when the user selects the current location button on the home screen. This is always preceded by ""Double tap to "" '"
,All Places,All Places,,False,filter_all,,' Places nearby that shows all of the places '
,see an unfiltered list of all of the nearby places,see an unfiltered list of all of the nearby places,,False,all_places_nearby_description,,"' Talkback hint text. Talkback reads this as ""Double tap to "" followed by the string.'"
,see a list of nearby public transit,see a list of nearby public transit,,False,public_transit_places_nearby_description,,"' Talkback hint text for nearby public transit. Talkback reads this as ""Double tap to "" followed by the string.'"
,see a list of nearby restaurants and bars,see a list of nearby restaurants and bars,,False,food_drink_places_nearby_description,,"' Talkback hint text for nearby restaurants and bars. Talkback reads this as ""Double tap to "" followed by the string.'"
,see a list of nearby grocery stores,see a list of nearby grocery stores,,False,groceries_places_nearby_description,,"' Talkback hint text for nearby grocery stores. Talkback reads this as ""Double tap to "" followed by the string.'"
,see a list of nearby banks,see a list of nearby banks,,False,banks_places_nearby_description,,"' Talkback hint text for nearby banks and ATMs. Talkback reads this as ""Double tap to "" followed by the string.'"
,see a list of nearby road intersections,see a list of nearby road intersections,,False,intersections_places_nearby_description,,"' Talkback hint text for nearby road intersections. Talkback reads this as ""Double tap to "" followed by the string.'"
,to choose from a list of places nearby,to choose from a list of places nearby,,False,places_nearby_selection_description,,' A description of a button that opens the places nearby selection list '
,Public Transit,Public Transit,,False,filter_transit,,' Places nearby filter that shows public transport relates places e.g. bus stops and railway stations '
,Food and Drink,Food and Drink,,False,filter_food_drink,,' Places nearby filter that shows food and drink relates places e.g. restaurants and cafes '
,Groceries and Convenience Stores,Groceries and Convenience Stores,,False,filter_groceries,,' Places nearby filter that shows grocery shops '
,Banks and ATMs,Banks and ATMs,,False,filter_banks,,' Places nearby filter that shows banks and cash machines '
,Hear My Surroundings,Hear My Surroundings,,False,callouts_panel_title,,' Title for the button panel at the bottom of the home view.'
,Allow Callouts,Allow Callouts,,False,callouts_allow_callouts,,' Settings option to allow audio callouts - callouts are the descriptions of the nearby roads. '
,Turn all callouts on or off,Turn all callouts on or off,,False,callouts_allow_callouts_description,,' A description for the audio callouts setting. '
,Places and Landmarks,Places and Landmarks,,False,callouts_places_and_landmarks,,' Settings option to allow finer control of which places are called out - in this case places and landmarks '
,Nearby places like shops and restaurants,Nearby places like shops and restaurants,,False,callouts_places_and_landmarks_description,,' A description for the places and landmarks callout setting. '
,Mobility,Mobility,,False,callouts_mobility,,' Settings option to allow finer control of which places are called out - in this case mobility relates places '
,Intersection and transportation info,Intersection and transportation info,,False,callouts_mobility_description,,' A description for the mobility callouts setting. '
,Distance to the Audio Beacon,Distance to the Audio Beacon,,False,callouts_audio_beacon,,' Title for a setting under the Manage Callouts settings section. This toggle enables or disables periodic callouts that inform the user about their distance from the location of the audio beacon. '
,Updates about distance to the audio beacon when it's set,Updates about distance to the audio beacon when it's set,,False,callouts_audio_beacon_description,,' A description for the distance to audio beacon setting. '
,Automatic Callouts,Automatic Callouts,,False,callouts_automatic_callouts,,' Help title for automatic callouts '
,There is nothing to call out right now,There is nothing to call out right now,,False,callouts_nothing_to_call_out_now,,' Speech callout indicating that there's no useful information available '
,Nearby Markers,Nearby Markers,,False,callouts_nearby_markers,,' Button text for the hear my surroundings button which calls out nearby markers '
,Sleep,Sleep,,False,sleep_sleep,,"' Sleep Title, Sleep. Putting the app in an idle state for a period of time. '"
,Sleeping,Sleeping,,False,sleep_sleeping,,' App is currently Sleeping. Putting the app in an idle state for a period of time. '
,Soundscape is currently sleeping. This prevents Soundscape from using Location Services or downloading data. This conserves battery when you are not using Soundscape. Tap the button below to wake up Soundscape.,Soundscape is currently sleeping. This prevents Soundscape from using Location Services or downloading data. This conserves battery when you are not using Soundscape. Tap the button below to wake up Soundscape.,,False,sleep_sleeping_message,,' Text for sleep page explaining what it does '
,Put Soundscape to sleep,Put Soundscape to sleep,,False,sleep_sleep_acc_hint,,"' Talkback hint for the sleep button to indicate what it does. This is always preceded by ""Double tap to "" '"
,Wake Up Now,Wake Up Now,,False,sleep_wake_up_now,,' Text for large button on sleep screen which wakes the app up '
,Approaching intersection,Approaching intersection,,False,intersection_approaching_intersection,,' Callout that a road junction is getting near '
,At %s,At %s,,False,directions_at_poi,,"' Notification, %s is a point of interest, ""At Starbucks"" '"
,My Location,My Location,,False,directions_my_location,,' Text for button on home page that callous the current user location '
,Near %s,Near %s,,False,directions_near_name,,"' Notification announced to the user that they are near a location, %s is a physical address or the name of a place, examples: ""Near 123 Columbia Street"", ""Near Starbucks"" '"
,"'%s, goes left'","'%s, goes left'",,False,directions_name_goes_left,,"' Notification, %s street name, ""<Pike Street>, goes left '"
,"'%s, goes right'","'%s, goes right'",,False,directions_name_goes_right,,"' Notification, %s street name, ""<Pike Street>, goes right '"
,"'%s, continues ahead'","'%s, continues ahead'",,False,directions_name_continues_ahead,,"' Notification, %s street name, ""<Pike Street>, continues ahead '"
,ahead,ahead,,False,directions_direction_ahead,,"' Notification orientation, ahead. Used as the direction name in sentences such as ""<Pike Street>, <ahead>"". '"
,Near %1$s and close to %2$s,Near %1$s and close to %2$s,,False,directions_near_road_and_settlement,,"' Notification announced to the user that they are near a location that is near a settlement. The settlement is the nearest by distance, but isn't necessarily the one that the road is actually in. %1$@ is a road name and %2$@ is a settlement name, example: ""Near Glasgow Road and close to Milngavie"" '"
,Traveling north,Traveling north,,False,directions_traveling_n,,"' Traveling in a vehicle such as a train, bus, car with a cardinal direction, %s is a road name. Whenever the vehicle changes roads, the app will announce a location update by saying the direction the vehicle is travelling in and the name of the road e.g. Travelling east along High Street '"
,Traveling northeast,Traveling northeast,,False,directions_traveling_ne,,"' Traveling in a vehicle such as a train, bus, car with a cardinal direction, %s is a road name. Whenever the vehicle changes roads, the app will announce a location update by saying the direction the vehicle is travelling in and the name of the road e.g. Travelling east along High Street '"
,Traveling east,Traveling east,,False,directions_traveling_e,,"' Traveling in a vehicle such as a train, bus, car with a cardinal direction, %s is a road name. Whenever the vehicle changes roads, the app will announce a location update by saying the direction the vehicle is travelling in and the name of the road e.g. Travelling east along High Street '"
,Traveling southeast,Traveling southeast,,False,directions_traveling_se,,"' Traveling in a vehicle such as a train, bus, car with a cardinal direction, %s is a road name. Whenever the vehicle changes roads, the app will announce a location update by saying the direction the vehicle is travelling in and the name of the road e.g. Travelling east along High Street '"
,Traveling south,Traveling south,,False,directions_traveling_s,,"' Traveling in a vehicle such as a train, bus, car with a cardinal direction, %s is a road name. Whenever the vehicle changes roads, the app will announce a location update by saying the direction the vehicle is travelling in and the name of the road e.g. Travelling east along High Street '"
,Traveling southwest,Traveling southwest,,False,directions_traveling_sw,,"' Traveling in a vehicle such as a train, bus, car with a cardinal direction, %s is a road name. Whenever the vehicle changes roads, the app will announce a location update by saying the direction the vehicle is travelling in and the name of the road e.g. Travelling east along High Street '"
,Traveling west,Traveling west,,False,directions_traveling_w,,"' Traveling in a vehicle such as a train, bus, car with a cardinal direction, %s is a road name. Whenever the vehicle changes roads, the app will announce a location update by saying the direction the vehicle is travelling in and the name of the road e.g. Travelling east along High Street '"
,Traveling northwest,Traveling northwest,,False,directions_traveling_nw,,"' Traveling in a vehicle such as a train, bus, car with a cardinal direction, %s is a road name. Whenever the vehicle changes roads, the app will announce a location update by saying the direction the vehicle is travelling in and the name of the road e.g. Travelling east along High Street '"
,Facing north,Facing north,,False,directions_facing_n,,"' Facing a cardinal direction. If the user is not travelling in a vehicle, or not moving (e.g. on foot) but is stationary along a road somewhere, the application will know which way the user is facing e.g. Facing east along High Street '"
,Facing northeast,Facing northeast,,False,directions_facing_ne,,"' Facing a cardinal direction. If the user is not travelling in a vehicle, or not moving (e.g. on foot) but is stationary along a road somewhere, the application will know which way the user is facing e.g. Facing east along High Street '"
,Facing east,Facing east,,False,directions_facing_e,,"' Facing a cardinal direction. If the user is not travelling in a vehicle, or not moving (e.g. on foot) but is stationary along a road somewhere, the application will know which way the user is facing e.g. Facing east along High Street '"
,Facing southeast,Facing southeast,,False,directions_facing_se,,"' Facing a cardinal direction. If the user is not travelling in a vehicle, or not moving (e.g. on foot) but is stationary along a road somewhere, the application will know which way the user is facing e.g. Facing east along High Street '"
,Facing south,Facing south,,False,directions_facing_s,,"' Facing a cardinal direction. If the user is not travelling in a vehicle, or not moving (e.g. on foot) but is stationary along a road somewhere, the application will know which way the user is facing e.g. Facing east along High Street '"
,Facing southwest,Facing southwest,,False,directions_facing_sw,,"' Facing a cardinal direction. If the user is not travelling in a vehicle, or not moving (e.g. on foot) but is stationary along a road somewhere, the application will know which way the user is facing e.g. Facing east along High Street '"
,Facing west,Facing west,,False,directions_facing_w,,"' Facing a cardinal direction. If the user is not travelling in a vehicle, or not moving (e.g. on foot) but is stationary along a road somewhere, the application will know which way the user is facing e.g. Facing east along High Street '"
,Facing northwest,Facing northwest,,False,directions_facing_nw,,"' Facing a cardinal direction. If the user is not travelling in a vehicle, or not moving (e.g. on foot) but is stationary along a road somewhere, the application will know which way the user is facing e.g. Facing east along High Street '"
,Heading north,Heading north,,False,directions_heading_n,,' Walking with a cardinal direction. If the user is walking and heading along a road in a specific direction then the app will know the direction of travel of the user along that road e.g. Heading east along High Street. This is different to when a user is moving in a vehicle. '
,Heading northeast,Heading northeast,,False,directions_heading_ne,,' Walking with a cardinal direction. If the user is walking and heading along a road in a specific direction then the app will know the direction of travel of the user along that road e.g. Heading east along High Street. This is different to when a user is moving in a vehicle. '
,Heading east,Heading east,,False,directions_heading_e,,' Walking with a cardinal direction. If the user is walking and heading along a road in a specific direction then the app will know the direction of travel of the user along that road e.g. Heading east along High Street. This is different to when a user is moving in a vehicle. '
,Heading southeast,Heading southeast,,False,directions_heading_se,,' Walking with a cardinal direction. If the user is walking and heading along a road in a specific direction then the app will know the direction of travel of the user along that road e.g. Heading east along High Street. This is different to when a user is moving in a vehicle. '
,Heading south,Heading south,,False,directions_heading_s,,' Walking with a cardinal direction. If the user is walking and heading along a road in a specific direction then the app will know the direction of travel of the user along that road e.g. Heading east along High Street. This is different to when a user is moving in a vehicle. '
,Heading southwest,Heading southwest,,False,directions_heading_sw,,' Walking with a cardinal direction. If the user is walking and heading along a road in a specific direction then the app will know the direction of travel of the user along that road e.g. Heading east along High Street. This is different to when a user is moving in a vehicle. '
,Heading west,Heading west,,False,directions_heading_w,,' Walking with a cardinal direction. If the user is walking and heading along a road in a specific direction then the app will know the direction of travel of the user along that road e.g. Heading east along High Street. This is different to when a user is moving in a vehicle. '
,Heading northwest,Heading northwest,,False,directions_heading_nw,,' Walking with a cardinal direction. If the user is walking and heading along a road in a specific direction then the app will know the direction of travel of the user along that road e.g. Heading east along High Street. This is different to when a user is moving in a vehicle. '
,Traveling north along %s,Traveling north along %s,,False,directions_along_traveling_n,,"' Traveling in a vehicle such as a train, bus, car with a cardinal direction, %s is a road name. Whenever the vehicle changes roads, the app will announce a location update by saying the direction the vehicle is travelling in and the name of the road e.g. Travelling east along High Street '"
,Traveling northeast along %s,Traveling northeast along %s,,False,directions_along_traveling_ne,,"' Traveling in a vehicle such as a train, bus, car with a cardinal direction, %s is a road name. Whenever the vehicle changes roads, the app will announce a location update by saying the direction the vehicle is travelling in and the name of the road e.g. Travelling east along High Street '"
,Traveling east along %s,Traveling east along %s,,False,directions_along_traveling_e,,"' Traveling in a vehicle such as a train, bus, car with a cardinal direction, %s is a road name. Whenever the vehicle changes roads, the app will announce a location update by saying the direction the vehicle is travelling in and the name of the road e.g. Travelling east along High Street '"
,Traveling southeast along %s,Traveling southeast along %s,,False,directions_along_traveling_se,,"' Traveling in a vehicle such as a train, bus, car with a cardinal direction, %s is a road name. Whenever the vehicle changes roads, the app will announce a location update by saying the direction the vehicle is travelling in and the name of the road e.g. Travelling east along High Street '"
